Text,Likes,Source,,,
عبيد البريكي: سأعيّن امرأة على رأس الخارجية وأكشف ملف الاغتيالات,325,Mosaique fm,,,
الشاهد يفتتح حملته الانتخابية من الأحياء الشعبية بالعاصمة,416,Mosaique fm,,,
عبير موسي: لهذا إحترزت على نتائج قرعة المناظرات ,234,Mosaique fm,,,
موسي: قرعة مناظرات المرشحين غير قانونية وجائرة,929,Mosaique fm,,,
الشاهد يفتتح حملته الانتخابية في مدينة ليون الفرنسية,382,Mosaique fm,,,
عبو: المساواة في الميراث مطابقة للدستور وأنا ضد الإعدام,368,Mosaique fm,,,
عبو: هذا ما سيحصل لو فزت في الرئاسية وفازت زوجتي في التشريعية,270,Mosaique fm,,,
عبو: مع تطبيق القانون على الجميع وأخطرهم السلفية لأنهم حملوا السلاح,113,Mosaique fm,,,
مورو: ''توفير الأمن للتونسيين من أولوياتي,223,Mosaique fm,,,
الجبالي: ترشحت للرئاسية لإتمام واجبي تجاه الوطن,637,Mosaique fm,,,
البرنامج الإنتخابي لنبيل القروي : رؤية جديدة للميزانية و الإقتصاد,224,Jawhra fm,,,
محسن مرزوق : برنامجي الإنتخابي يرتكز على 3 نقاط,67,Jawhra fm,,,
حمادي الجبالي : ضرورة تعزيز المنظومة الأمنية للقضاء على الجريمة المنظمة و الإرهاب,100,Jawhra fm,,,
الهاشمي الحامدي : سأسخر سفارات تونس في دول العالم خدمةََ للفلاحين,80,Jawhra fm,,,
الهاشمي الحامدي: سأعدّل الدستور دفاعا عن الشريعة الإسلامية,154,Jawhra fm,,,
الهاشمي الحامدي : أسعى لضمان أغلبية برلمانية لتجنب السيناريو البريطاني,48,Jawhra fm,,,
"المترشح محمد الهاشمي الحامدي ضيفنا في بوليتيكا ""فخامة الرئيس",327,Jawhra fm,,,
" ضيفنا اليوم في بوليتكا ""فخامة الرئيس"" بداية من 12:10 المترشح للانتخابات الرئاسية ""عبد الفتاح مورو",150,Jawhra fm,,,
"الزبيدي عن ""الخميس الأسود"": ""أمرت بتطويق المستشفى العسكري.. وكنا سنمنع البرلمان من الانعقاد",481,Jawhra fm,,,
إلياس الفخفاخ : سأسعى لإعادة سوريا إلى جامعة الدول العربية,92,Jawhra fm,,,
محمد الصغير النوري : وثيقة قرطاج لا تصلح للحصول على قرض بدينار,52,Jawhra fm,,,
محمد الصغير النوري سأقطع مع المنظومة القديمة,32,Jawhra fm,,,
إلياس الفخفاخ : سأمنح عفوا خاصاً لهؤلاء إذا صرت رئيساً,95,Jawhra fm,,,
"محمد الصغير النوري : ""لدي كتلة برلمانية""",44,Jawhra fm,,,
"محمد الصغير النوري : ""كان نفوز بمنصب الرئيس باش نخدم بلاش""",203,Jawhra fm,,,
المترشح للانتخابات الرئاسية إلياس الفخفاخ ضيفنا في بوليتكا,38,Jawhra fm,,,
المترشح للانتخابات الرئاسية محمد الصغير نوري ضيفنا في بوليتكا,90,Jawhra fm,,,
الصافي سعيد : سأقوم بإجراء إستفتاء على مسألة الميراث,161,Jawhra fm,,,
عبيد البريكي : ضرورة تقليص راتب رئيس الجمهورية,100,Jawhra fm,,,
مهدي جمعة : دور شباب وثقافة في كل حي شعبي,200,Jawhra fm,,,
المترشّح للرئاسيّة عمر منصور : هذه أولوياتي,67,Jawhra fm,,,
ناجي جلول: سأزور سوريا إذا تلقيت دعوة,61,Jawhra fm,,,
"ناجي جلول: ""موش معقول تُدخل لبانكا 5 نجوم و مركز أمن كرسيه مكسّر",203,Jawhra fm,,,
ناجي جلول : أنا ضد إعدام المغتصب ومع الإخصاء,378,Jawhra fm,,,
ناجي جلول : عندي مشكلة مع الفقر و سأحلها,128,Jawhra fm,,,
"المترشح للانتخابات الرئاسية ناجي جلول ضيفنا في بوليتكا ""فخامة الرئيس""",155,Jawhra fm,,,
حركة نداء تونس تعلن رسميا مساندتها لعبد الكريم الزبيدي في الانتخابات الرئاسية,293,Jawhra fm,,,
السيد عمر منصور المرشح المستقل للانتخابات الرئاسية ضيفنا في بوليتيكا,298,Jawhra fm,,,
محسن مرزوق ضيف برنامج بوليتيكا,123,Jawhra fm,,,
مورو يتعهد بمعالجة الوضع البيئي في قابس,233,Mosaique fm,,,
عبيد البريكي: مررت من الشعارات إلى تقديم المقترحات العملية,79,Mosaique fm,,,
الشاهد: نملك رؤية مستقبلية لسوسة,310,Mosaique fm,,,
عبو: سأقطع مع حكم السياسيين الفاسدين,305,Mosaique fm,,,
عبير موسي تتعهّد بتغيير الدستور,739,Mosaique fm,,,
حملة المهدي جمعة تتبرّأ من معلّقات إشهارية مزعومة,239,Mosaique fm,,,
المرزوقي: عصابات سياسية تتصارع..والسلطة غنيمة حرب عندهم,266,Mosaique fm,,,
المرزوقي: 'لوبيات و عصابات سياسية تتصارع و تعتبر السلطة غنيمة حرب,346,Mosaique fm,,,
الرياحي يلجأ للقضاء على خلفية المناظرة التلفزية بين المترشحين للرئاسة,465,Mosaique fm,,,
سعيد العايدي: على رئيس الجمهورية التحرر من كل اللوبيات,155,Mosaique fm,,,
الزبيدي يتعهد بصون هيبة الدولة,246,Mosaique fm,,,
صافي سعيد: سنُطهر تونس من الفساد والإرهاب,1362,Mosaique fm,,,
الرحوي: سأفتح ملفات أصبحت قضايا أمن قومي,186,Mosaique fm,,,
الشاهد خلال اجتماع شعبي في صفاقس: قرار غلق السياب نهائي ولا رجعة فيه,309,Mosaique fm,,,
صفاقس:مهدي جمعة يتعهد بتوفير فرص الاستثمار وفتح الأفاق الاقتصادية,227,Mosaique fm,,,
جربة:عبد الفتاح مورو يتعهد بإنجاز الملفات العالقة ومحاربة الفساد,364,Mosaique fm,,,
"مهدي جمعة : ""أنا مع عقوبة الإعدام",74,Mosaique fm,,,
سلمى اللومي تتعهد بتعزيز الأمن القومي والغذائي والصحي,168,Mosaique fm,,,
